"var","r2015-2020","r2016-2021","r2017-2022","r2018-2023","r2019-2024"
"st_wind_solar_delta","R0.06 (0.19)","R0.12 (0.15)","R-0.19 (0.12)","R-0.34 (0.18)","R-0.2 (0.06)"
"st_rps_sales_cost","R0.31 (0.21)","R0 (0.38)","R1.01 (0.29)","R0.89* (0.16)","R0.57* (0.05)"
"st_btm_delta","R-0.23 (0.65)","R0.03 (0.52)","R-0.31 (0.31)","R0.3 (0.22)","R0.13 (0.13)"
"st_load_pct","R-0.19 (0.28)","R-0.16 (0.16)","R0.03 (0.23)","R-0.16 (0.18)","R-0.22 (0.12)"
"st_gas_exposure","R-0.08 (0.12)","R0.36 (0.15)","R0.39 (0.32)","R0.51 (0.22)","R0.21 (0.15)"
"st_saifi_delta","R0.08 (0.15)","R0.25 (0.31)","R0.15 (0.18)","R0.29 (0.3)","R-0.07 (0.06)"
"ca_rescale","R0.36 (0.46)","R0.41 (0.32)","R0.76* (0.12)","R0.68* (0.09)","R1.12* (0.02)"
"st_rate_delta_pre","R0.45 (0.15)","R0.34 (0.15)","R0.19 (0.2)","R0.32* (0.1)","R-0.12 (0.04)"
"R2","0.233","0.365","0.536","0.7","0.786"
